,CompanyName,number_of_permits_applied_for,PlanReviewAverageDays
0,POWER DESIGN INC,570.0,76.70877192982456
1,FRIENDLY JOHN INC,497.0,4.464788732394366
2,INFINITY CONSTRUCTION SERVICES INC,432.0,325.6388888888889
3,Fisk Electric Company,408.0,72.12745098039215
4,THYSSENKRUPP ELEVATOR CORP  MIAMI,403.0,14.928039702233251
5,United Site Services of Florida  LLC,364.0,9.258241758241759
6,Sunshine Electrical Contractors Corp,359.0,218.3676880222841
7,Home Depot AtHome Services (the),353.0,16.379603399433428
8,AES PORTABLE SANITATION INC,331.0,15.88821752265861
9,Defender Security Co dba Protect Your Home,321.0,52.64797507788162
10,FHIA LLC,312.0,14.71474358974359
11,ELECTRICAL MASTERS INC,312.0,165.22756410256412
12,MASTEC NETWORK SOLUTIONS  LLC,310.0,41.303225806451614
13,OTIS ELEVATOR COMPANY,303.0,18.231023102310232
14,EMPIRE ELECTRIC MAINTENANCE & SERVICE INC.,283.0,86.39929328621908
15,ARS/RESCUE ROOTER,276.0,20.608695652173914
16,DOUGLAS ORR PLUMBING INC,254.0,108.71653543307086
17,INDUSTRIAL ELECTRICAL SYSTEMS CORP,236.0,160.8728813559322
18,HAMMOND ELECTRIC SERVICE INC,230.0,47.08695652173913
19,METRO ELECTRIC SERVICE INC.,226.0,132.23008849557522
20,ABCO ELECTRIC INC,218.0,58.8348623853211
21,RAIRCON CORP.,209.0,15.937799043062201
22,JC & A Electrical Contractors Inc,209.0,92.1244019138756
23,CPS Electric Inc.,207.0,149.45410628019323
24,T & S Roofing Systems Inc,192.0,23.333333333333332
25,FLORIDA GENERAL & ROOFING CONTRACTORS  LLC,190.0,49.84736842105263
26,IN AND OUT PORTABLES LLC,187.0,23.22994652406417
27,TISW CORP,185.0,25.25945945945946
28,RC CONSTRUCTION & INVESTMENTS  LLC,185.0,126.08108108108108
29,ENGINEERING SYSTEMS TECHNOLOGY INC.,180.0,39.138888888888886
30,AllDade General Construction Inc.,179.0,44.76536312849162
31,ART SIGN COMPANY  INC/ DBA ART LIGHTING SUPPLY & SERVICE/DBA ART SIGN LIGHTING,176.0,51.35227272727273
32,Cool Air USA Inc.,173.0,7.104046242774566
33,Caibai Constuction LLC,173.0,247.4971098265896
34,Advanced Fire & Security Inc.,171.0,31.883040935672515
35,TROPICAL FIRE & SECURITY SYSTEMS INC,169.0,17.153846153846153
36,SCHINDLER ELEVATOR CORP,168.0,13.0
37,RED HAWK FIRE & SECURITY,164.0,37.84756097560975
38,APR Electric Corp,163.0,131.68711656441718
39,INTERSTATE SIGNCRAFTERS  INC,161.0,179.0496894409938
40,VICTORIA ELECTRIC INC,160.0,169.75
41,Johnson Controls Fire Protection LP,157.0,37.22292993630573
42,MESA ELECTRIC SYSTEMS  CORP.,157.0,45.52866242038217
43,Regosa Engineering Services Inc.,157.0,132.43312101910828
44,MG EXCELLENT SERVICES CORP,155.0,135.8258064516129
45,SPRINKLERMATIC FIRE PROTECTION SYSTEM INC,152.0,15.578947368421053
46,V MAR GROUP INV,150.0,239.22
47,NEC ELECTRICAL CONTRACTOR INC,150.0,177.52666666666667
48,SKYLIGHT TECHNOLOGIES,148.0,22.81756756756757
49,C.G. ELECTRICAL & CONSULTING SERVICES INC.,147.0,130.3469387755102
50,RJS CONSULTANTS INC. DBA PRESTIGE WINDOWS AND DOORS,146.0,22.116438356164384
51,PSG Plumbing Services Inc,144.0,317.05555555555554
52,ALL YEAR COOLING AND HEATING,143.0,15.874125874125873
53,Alpero General Contractor Inc.,139.0,57.064748201438846
54,NOVOA ELECTRICAL CONTRACTORS INC,136.0,174.22794117647058
55,RINGEMANN PLUMBING  INC,135.0,141.7037037037037
56,Benetti Services Inc,132.0,88.70454545454545
57,FORTUNE URBAN CONSTRUCTION LLC,131.0,184.29007633587787
58,MCI CONTRACTORS  INC,130.0,227.13076923076923
59,A & E BROTHERS ROOFING  INC.,129.0,18.310077519379846
60,MORIAH DEMOLITION AND CONSTRUCTION COMPANY,129.0,213.51162790697674
61,INTEGRATED SECURITY SYSTEMS,129.0,30.96124031007752
62,United Electrical Services Inc.,128.0,187.515625
63,American Storm Protection Corp.,128.0,33.7265625
64,CASTELLON PLUMBING CORP,128.0,272.703125
65,MESA BROTHERS INC,128.0,206.234375
66,LARKEN ELECTRIC INC,126.0,74.84126984126983
67,GM&P CONSULTING AND GLAZING CONTRACTORS  INC,126.0,45.92857142857143
68,FLORIDA SOLAR & AIR  INC.,124.0,37.225806451612904
69,TRANSFORMERS ELECTRIC .LLC,123.0,119.46341463414635
70,Becai Electric Inc.,121.0,131.7520661157025
71,Ajil Construction Inc.,120.0,126.175
72,Riverside Electric and Contracting Services LLC,120.0,153.2
73,ADT SECURITY SERVICES,118.0,17.372881355932204
74,SIEMENS INDUSTRY INC.,118.0,43.19491525423729
75,Kemp Signs & Services Inc.,117.0,148.96581196581195
76,GENSET FIRE AND SECURITY LLC,117.0,51.376068376068375
77,AABAA ELECTRICAL SERVICES,117.0,108.7948717948718
78,1 STOP GAS SERVICE INC,117.0,68.2991452991453
79,PENINSULA PLUMBING INC,116.0,271.7844827586207
80,HK Contractor Consulting Inc,112.0,34.035714285714285
81,HB CONSTRUCTION LLC,111.0,148.13513513513513
82,ADWAVE GRAPHICS INC.,111.0,103.75675675675676
83,HABITAT GROUP INC,110.0,167.22727272727272
84,Express Waste of Miami Inc,110.0,19.072727272727274
85,STAR BRITE GROUP  INC,110.0,271.23636363636365
86,Acolite & Claude United Sign Company Inc.,109.0,131.72477064220183
87,ENGINEERED SYSTEMS SOLUTIONS LLC,108.0,170.22222222222223
88,DIAZ & RUSSELL CONSTRUCTION COMPANY,108.0,169.90740740740742
89,THE COMPANIES OF R & S INC (aka R&S WINDOW COMPANY),107.0,22.177570093457945
90,LONCUS PLUMBING CONTRACTOR INC,107.0,353.0841121495327
91,BEAUCHAMP CONSTRUCTION CO.  INC.,106.0,150.1509433962264
92,KONE INC,106.0,32.72641509433962
93,Alarm & Electronics Systems Inc.,106.0,26.754716981132077
94,RCI AIR CONDITIONING COMPANY,105.0,149.22857142857143
95,Lucto Fire Sprinkler Corp.,104.0,17.557692307692307
96,CMS TELECOM SERVICES  LLC,104.0,51.48076923076923
97,ASINET,104.0,43.76923076923077
98,MIAMI DADE COUNTY WATER AND SEWER DEPT.,103.0,73.13592233009709
99,DIRECT AIR CONDITIONING INC.,101.0,1.0
100,J. Crompton Electric Inc.,101.0,97.81188118811882
101,Contractors Electrical Service Inc,100.0,161.69
102,J E S ELECTRIC INC,100.0,166.03
103,OMEGA ROOFING INC,100.0,22.05
104,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,98.0,213.08163265306123
105,VIKING AIR MECHANICAL INC,98.0,151.60204081632654
106,ISLAND PLUMBING CO,96.0,141.61458333333334
107,ASE TELECOM & DATA INC,94.0,13.712765957446809
108,Stan Daemer Electrical Services Inc.,94.0,126.3936170212766
109,UNLIMITED ELECTRICAL CONTRACTORS CORP.,94.0,74.35106382978724
110,Well Electric Technology,94.0,142.74468085106383
111,FORTIS CONSTRUCTION GROUP LLC,94.0,42.97872340425532
112,R & G LLC,93.0,98.3225806451613
113,CIVIC CONSTRUCTION COMPANY INC,93.0,214.55913978494624
114,Olin Wayne Companies Inc,93.0,66.7741935483871
115,AMERICAN IMPACT WINDOWS & DOORS LLC,92.0,34.66304347826087
116,DILLON POOLS INC,91.0,122.51648351648352
117,Caymares Martin Electrical Contractor Inc,90.0,112.17777777777778
118,Horne Plumbing Company,90.0,174.2888888888889
119,CITYWIDE ELECTRICAL SERVICE  LLC,90.0,168.24444444444444
120,R & I Plumbing Service Corp.,90.0,312.4
121,AVI Integrators  Inc dba Security 101,90.0,26.655555555555555
122,Atlantic Coast Restaurant & Mechanical Services LLC,90.0,102.42222222222222
123,Santinacho Enterprises Corp,89.0,148.57303370786516
124,Tirone Electric  Inc,88.0,149.5568181818182
125,ASSOCIATED STEEL AND ALUMINUM INC,88.0,47.35227272727273
126,Johnson Controls Security Solutions LLC,87.0,28.701149425287355
127,CITY CONSTRUCTION GROUP INC,87.0,87.77011494252874
128,DAIR CONDITIONING COMPANY,86.0,288.5581395348837
